run,raw_z0,gauze_z0,delta
1,-0.56494140625,-0.179443359375,0.385498046875
2,-0.571044921875,-0.18798828125,0.383056640625
3,-0.567138671875,-0.1826171875,0.384521484375
4,-0.57470703125,-0.178955078125,0.395751953125
5,-0.561767578125,-0.1845703125,0.377197265625
6,-0.55908203125,-0.184814453125,0.374267578125
7,-0.579833984375,-0.1826171875,0.397216796875
8,-0.57958984375,-0.19482421875,0.384765625
9,-0.55712890625,-0.17822265625,0.37890625
10,-0.58056640625,-0.19482421875,0.3857421875
11,-0.577392578125,-0.18896484375,0.388427734375
12,-0.57568359375,-0.192626953125,0.383056640625
13,-0.581787109375,-0.193359375,0.388427734375
14,-0.588623046875,-0.181884765625,0.40673828125
15,-0.572998046875,-0.1875,0.385498046875
16,-0.588134765625,-0.19482421875,0.393310546875
